Equipo,Jugados,Sets_Jugados,Total_Puntos,Break_Puntos,Puntos_Ganados,Puntos_Perdidos,Total_Saque,Puntos_Saque,Error_Saque,Puntos_por_set_Saque,Efic_Saque,Total_Recepcion,Error_Recepcion,Negativo_Recepcion,Positivo_Recepcion,Excelente_Recepcion,Efic_Recepcion,Total_Ataque,Error_Ataque,Ataque_Bloqueado,Positivo_Ataque,Excelente_Ataque,Efic_Ataque,Toque_Red_Bloqueo,Puntos_de_Bloqueo,Puntos_Set_Bloqueo,id_equipo,temporada
Arenal Emeve,20,78,1237,462,775,500,1722,97,255,1.2,-9.0,1445,83,380,669,46.0,41.0,2079,213,186,963,46.0,27.0,41,177,2.3,1-2019-2020,2019-2020
CV Teruel,20,71,1236,492,744,654,1677,102,274,1.4,-10.0,1227,70,291,425,35.0,29.0,1732,137,101,918,53.0,39.0,90,216,3.0,2-2019-2020,2019-2020
Vecindario Las Palmas,20,79,1229,473,756,527,1799,87,261,1.1,-10.0,1426,94,481,426,30.0,23.0,1961,178,169,927,47.0,30.0,98,215,2.7,10-2019-2020,2019-2020
Unicaja Almeria,20,73,1221,527,694,686,1738,107,237,1.5,-7.0,1186,73,239,425,36.0,30.0,1747,109,116,908,52.0,39.0,262,206,2.8,7-2019-2020,2019-2020
Voley Palma,20,72,1205,472,733,557,1669,92,282,1.3,-11.0,1307,82,343,476,36.0,30.0,1866,131,153,904,48.0,33.0,97,209,2.9,8-2019-2020,2019-2020
Manacor,20,80,1195,417,778,383,1671,120,276,1.5,-9.0,1539,131,449,591,38.0,30.0,1997,199,206,913,46.0,25.0,138,162,2.0,3-2019-2020,2019-2020
Rio Duero Soria,20,75,1174,428,746,422,1631,96,274,1.3,-11.0,1437,87,334,591,41.0,35.0,1905,200,191,873,46.0,25.0,242,205,2.7,5-2019-2020,2019-2020
Grau,20,76,1169,417,752,557,1729,68,210,0.9,-8.0,1432,74,376,485,34.0,29.0,2245,158,170,932,42.0,27.0,219,169,2.2,6-2019-2020,2019-2020
Ibiza Voley,20,71,1165,444,721,485,1621,115,269,1.6,-10.0,1267,82,322,427,34.0,27.0,1869,153,176,898,48.0,30.0,229,152,2.1,9-2019-2020,2019-2020
Voley Textil Santanderina,20,75,1109,385,724,325,1606,101,286,1.3,-12.0,1468,98,350,458,31.0,25.0,1917,199,201,855,45.0,24.0,166,153,2.0,12-2019-2020,2019-2020
Voleibol Almoradi,20,77,1095,366,729,286,1610,84,273,1.1,-12.0,1510,119,469,464,31.0,23.0,2045,180,237,872,43.0,22.0,227,139,1.8,11-2019-2020,2019-2020
CV Melilla,20,71,947,268,679,182,1407,59,259,0.8,-14.0,1455,124,490,343,24.0,15.0,1840,178,204,779,42.0,22.0,125,109,1.5,4-2019-2020,2019-2020
