Nombre,Partidos_jugados,Sets_jugados,Recepciones,Recepciones_exitosas,Recepciones_fallidas,Recepciones_otro_jugador,Puntos_perdidos_recep,Puntos_ganados_recep,Total_puntos_recep,Recep_Ranking,id_jugador,id_equipo,temporada
Larranaga Ledo Unai,26,90,232,32,18,14,67,94,457,0.407,104-2022-2023,7-2022-2023,2022-2023
Conde Barrios Lucas,1,3,11,0,0,1,7,6,25,0.4,76-2022-2023,5-2022-2023,2022-2023
Masia Porres Arnau,24,84,196,31,15,21,78,118,459,0.3137,19-2022-2023,2-2022-2023,2022-2023
Osado Carrasco Jose,22,83,236,27,20,34,96,181,594,0.2946,38-2022-2023,3-2022-2023,2022-2023
Ruiz Daniel,23,70,130,12,13,21,60,102,338,0.287,64-2022-2023,5-2022-2023,2022-2023
Ruda Martinez Florentino,1,4,16,5,0,1,8,5,35,0.2857,93-2022-2023,7-2022-2023,2022-2023
Fernandez Rojas Alejandro,16,41,55,12,0,8,20,28,123,0.2846,62-2022-2023,5-2022-2023,2022-2023
San Martin Rodriguez Alejandro,30,109,169,38,31,9,71,155,473,0.2579,123-2022-2023,9-2022-2023,2022-2023
Gamiz Padilla Aharon,28,102,152,22,47,16,70,136,443,0.2573,113-2022-2023,8-2022-2023,2022-2023
Sanchez Cano Victor,21,70,141,28,10,22,56,107,364,0.25,170-2022-2023,12-2022-2023,2022-2023
Fernandez Martinez Francisco Jose,20,74,141,24,51,17,88,112,433,0.2309,30-2022-2023,3-2022-2023,2022-2023
Fernandez Martinez Francisco Jose,20,74,141,24,51,17,88,112,433,0.2309,161-2022-2023,11-2022-2023,2022-2023
Piris Guiscafre Antoni,21,74,173,44,12,27,90,108,454,0.2247,55-2022-2023,4-2022-2023,2022-2023
Mengod Bautista Javier,24,87,216,40,89,27,158,164,694,0.2147,90-2022-2023,6-2022-2023,2022-2023
Barrasa Portomene Samuel,15,46,92,18,15,15,60,77,277,0.213,7-2022-2023,1-2022-2023,2022-2023
Alves Castro Adrian,22,71,177,48,11,30,111,95,472,0.2097,131-2022-2023,10-2022-2023,2022-2023
Giustiniano Mariano Ariel,1,3,5,2,0,0,7,1,15,0.2,101-2022-2023,7-2022-2023,2022-2023
Redonda Camano David,1,3,5,0,0,2,3,6,16,0.1875,164-2022-2023,12-2022-2023,2022-2023
Gimenez Hernandez Jose Maria,5,17,27,6,13,4,17,28,95,0.1789,163-2022-2023,11-2022-2023,2022-2023
Gallardo Hernandez Rodrigo,19,53,73,24,9,20,68,86,280,0.1036,5-2022-2023,1-2022-2023,2022-2023
Iborra Ballester Hector,5,11,16,6,5,6,23,18,74,0.0541,87-2022-2023,6-2022-2023,2022-2023
