Equipo,Jugados,Sets_Jugados,Total_Puntos,Break_Puntos,Puntos_Ganados,Puntos_Perdidos,Total_Saque,Puntos_Saque,Error_Saque,Puntos_por_set_Saque,Efic_Saque,Total_Recepcion,Error_Recepcion,Negativo_Recepcion,Positivo_Recepcion,Excelente_Recepcion,Efic_Recepcion,Total_Ataque,Error_Ataque,Ataque_Bloqueado,Positivo_Ataque,Excelente_Ataque,Efic_Ataque,Toque_Red_Bloqueo,Puntos_de_Bloqueo,Puntos_Set_Bloqueo,id_equipo
Grupo Herce Soria,8,31,532,199,333,269,718,33,113,1.1,-11,556,37,127,155,28,21,884,54,59,423,48,35,135,76,2.5,8
UPV Leleman Conqueridor,8,34,524,196,328,226,730,50,94,1.5,-6,623,47,163,134,22,14,924,86,71,418,45,28,146,56,1.6,11
Cisneros Alter,8,32,517,164,353,232,728,30,129,0.9,-14,583,20,150,219,38,34,819,77,59,419,51,35,17,68,2.1,2
CV San Roque,8,34,512,176,336,188,716,29,131,0.9,-14,636,53,179,217,34,26,846,81,59,405,48,31,54,78,2.3,7
Voley Palma,8,33,508,178,330,195,694,37,100,1.1,-9,652,46,121,188,29,22,939,92,75,412,44,26,79,59,1.8,3
CV Teruel,8,31,471,161,310,193,676,19,112,0.6,-14,569,21,161,145,25,22,798,78,67,369,46,28,96,83,2.7,9
Guaguas,8,29,465,197,268,223,672,45,106,1.6,-9,462,34,111,166,36,29,685,53,49,349,51,36,67,71,2.4,5
Unicaja Costa de Almería,8,26,462,189,273,251,625,50,96,1.9,-7,431,27,110,136,32,25,629,39,49,356,57,43,97,56,2.2,10
Arenal Emevé,8,29,459,138,321,147,599,25,114,0.9,-15,609,39,158,205,34,27,808,86,73,374,46,27,48,60,2.1,1
CV Melilla,8,28,452,157,295,197,656,35,111,1.3,-12,535,36,127,222,41,35,762,49,59,365,48,34,75,52,1.9,6
Conectabalear CV Manacor,8,28,441,157,284,190,613,43,87,1.5,-7,519,43,130,176,34,26,716,60,61,336,47,30,65,62,2.2,4
Santo Domingo VB Petrer,8,29,400,113,287,119,620,18,107,0.6,-14,572,26,113,217,38,33,807,67,81,341,42,24,52,41,1.4,12
