Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porcentaje_error,Total_ataques,Ataque_Ranking,id_jugador
Santos Cunha Bruno,8,31,12,20,10,132,12,23,0,52,148,19,24,320,"2,7742",106
Linares José Luis,8,29,11,24,7,97,6,5,0,18,146,29,26,280,"2,7241",3
Dahl Ulrik Bo,8,34,17,32,17,137,14,9,0,26,160,32,26,347,"2,7059",92
Neaves Matthew Michael,8,26,8,22,5,86,6,14,0,30,121,15,15,208,"2,6538",135
Rodríguez Dosal Ángel,8,33,14,24,10,127,9,10,0,28,169,43,30,363,"2,5758",35
Nogueira Amorim Víctor Lucas,7,27,6,15,3,79,9,1,0,12,105,27,14,205,"2,3333",25
Martina Federico,8,26,1,2,2,50,3,7,0,16,72,3,7,143,"2,1923",81
Martínez Palacios Miguel Ángel,8,31,1,18,5,109,19,14,1,46,128,34,20,286,"1,9677",118
Pereyra Hernán Federico,4,13,2,7,5,35,7,6,0,17,44,6,13,89,"1,6154",78
Bezerra Souza Francisco Wallyson,7,22,8,19,4,65,4,8,0,17,60,7,13,127,"1,1364",58
Dangel Mulen Armando,8,33,11,13,5,83,6,20,0,42,92,26,19,225,"0,9394",149
Osorio Recordá Gerard,8,29,3,34,3,82,8,5,0,20,102,19,33,248,"0,7586",163
De la Rosa Cañellas Antonio,4,6,1,2,1,9,1,1,0,2,8,2,1,19,"0,6667",33
Moreno Mosquera Juan Pablo,4,13,2,10,3,38,1,8,0,16,36,8,9,70,"0,3077",62
Miranda de Alcantara Víctor Hugo,8,23,0,11,2,59,10,9,0,31,31,11,8,80,"0,0870",46
Chourio González Anderson José,1,3,0,0,0,4,0,0,0,4,2,2,3,9,"-1,0000",43
