Equipo,id_equipo
Arenal Emeve,1-2023-2024
Cisneros Alter,2-2023-2024
Voley Palma,3-2023-2024
Manacor,4-2023-2024
Guaguas,5-2023-2024
CV Melilla,6-2023-2024
CV San Roque,7-2023-2024
Rio Duero Soria,8-2023-2024
CV Teruel,9-2023-2024
Unicaja Almeria,10-2023-2024
Conqueridor Valencia,11-2023-2024
CV Villena Petrer,12-2023-2024
Arenal Emeve,1-2022-2023
Barca Voleibol,2-2022-2023
Voley Palma,3-2022-2023
Manacor,4-2022-2023
Guaguas,5-2022-2023
Conqueridor Valencia,6-2022-2023
CV Melilla,7-2022-2023
CV Teruel,8-2022-2023
Rio Duero Soria,9-2022-2023
Rotogal Boiro,10-2022-2023
Unicaja Almeria,11-2022-2023
Voley Textil Santanderina,12-2022-2023
Arenal Emeve,1-2021-2022
CV Teruel,2-2021-2022
Manacor,3-2021-2022
Guaguas,4-2021-2022
Voley Palma,5-2021-2022
Intasa,6-2021-2022
Conqueridor Valencia,7-2021-2022
CV Melilla,8-2021-2022
Rio Duero Soria,9-2021-2022
Rotogal Boiro,10-2021-2022
Ibiza Voley,11-2021-2022
Unicaja Almeria,12-2021-2022
Arenal Emeve,1-2020-2021
Barca Voleibol,2-2020-2021
CV Teruel,3-2020-2021
Manacor,4-2020-2021
Guaguas,5-2020-2021
CV Melilla,6-2020-2021
Rio Duero Soria,7-2020-2021
Rotogal Boiro,8-2020-2021
Grau,9-2020-2021
Ibiza Voley,10-2020-2021
Unicaja Almeria,11-2020-2021
Voley Palma,12-2020-2021
Voleibol Almoradi,13-2020-2021
Voley Textil Santanderina,14-2020-2021
Arenal Emeve,1-2019-2020
CV Teruel,2-2019-2020
Manacor,3-2019-2020
CV Melilla,4-2019-2020
Rio Duero Soria,5-2019-2020
Grau,6-2019-2020
Unicaja Almeria,7-2019-2020
Voley Palma,8-2019-2020
Ibiza Voley,9-2019-2020
Vecindario Las Palmas,10-2019-2020
Voleibol Almoradi,11-2019-2020
Voley Textil Santanderina,12-2019-2020
